Fusion Name	Gene 1 Symbol	Gene 1 ID	Gene 1 Breakpoint	Gene 1 Strand	Gene 1 Reference Strand	Gene 2 Symbol	Gene 2 ID	Gene 2 Breakpoint	Gene 2 Strand	Gene 2 Reference Strand	Breakpoint Distance	Supporting Reads	Read IDs	Strand Comparison	GF Program
CTD-2561J22.5:ARPC1A	CTD-2561J22.5		chr19:21456461	-		ARPC1A	ENSG00000241685.10	chr7:99363543	+	+	inf	3	3a2bebba-189e-4681-8295-812e021cb895	Inconsistent	JAFFAL
RPL6:TPR	RPL6	ENSG00000089009.16	chr12:112405853	-	-	TPR	ENSG00000047410.14	chr1:186314026	-	-	inf	3	9a564be5-2a8d-471a-9e1e-a37805f6cf09	Consistent	JAFFAL
F11-AS1:PSMB1	F11-AS1	ENSG00000251165.6	chr4:186500845	-	-	PSMB1	ENSG00000008018.9	chr6:170549113	-	-	inf	3	32bd94eb-1f07-43bc-a9d4-88cf649b752e	Consistent	JAFFAL
CCDC26:CSE1L	CCDC26	ENSG00000229140.12	chr8:129574882	-	-	CSE1L	ENSG00000124207.17	chr20:49084026	+	+	inf	3	cc1b09f7-173b-4907-a91b-3a9d1a897f27	Consistent	JAFFAL
ZNF7:PSTPIP2	ZNF7	ENSG00000147789.16	chr8:144837507	+	+	PSTPIP2	ENSG00000152229.18	chr18:45993703	-	-	inf	3	f866d6a8-86e0-4f57-9b2d-9eb4e8d9f845	Consistent	JAFFAL
COX6B1:RBM42	COX6B1	ENSG00000126267.11	chr19:35651349	+	+	RBM42	ENSG00000126254.12	chr19:35637158	+	+	14.188	2	b3419683-62e9-4105-ab97-8c3304ff785c	Consistent	JAFFAL
GIPR:SNRPD2	GIPR	ENSG00000010310.9	chr19:45672954	+	+	SNRPD2	ENSG00000125743.11	chr19:45688566	-	-	15.611	2	9f4d34e2-6fca-4787-bd7e-dadaabfa0e04	Consistent	JAFFAL
PTGES3:NACA	PTGES3	ENSG00000110958.16	chr12:56687998	-	-	NACA	ENSG00000196531.14	chr12:56714687	-	-	26.687	2	0d962a11-301e-4960-ac67-7928b2e80cf4	Consistent	JAFFAL
NDRG3:TGIF2-C20orf24	NDRG3	ENSG00000101079.21	chr20:36680816	-	-	TGIF2-C20orf24		chr20:36607715	+		73.102	2	02a2ccfa-3fdb-454e-8875-18ff1b98682a	Inconsistent	JAFFAL
MRPL39:ATP5J	MRPL39	ENSG00000154719.14	chr21:25601368	-	-	ATP5J		chr21:25725350	-		123.981	2	34f56190-5de5-4559-87e8-121502f38153	Inconsistent	JAFFAL
EEFSEC:GATA2-AS1	EEFSEC	ENSG00000132394.11	chr3:128264781	+	+	GATA2-AS1	ENSG00000244300.3	chr3:128496699	+	+	231.921	2	abf0b4a7-03d3-4eae-9424-f4ad3c564f08	Consistent	JAFFAL
SRPK1:MAPK14	SRPK1	ENSG00000096063.16	chr6:35872563	-	-	MAPK14	ENSG00000112062.12	chr6:36107455	+	+	234.892	2	166a606b-34f5-4cde-87dc-bab04cf540ed	Consistent	JAFFAL
DSCR4:KCNJ6	DSCR4	ENSG00000184029.9	chr21:38120307	-	-	KCNJ6	ENSG00000157542.11	chr21:37840709	-	-	279.599	2	ce70bc2d-c339-49e2-83fa-51de8a30088d	Consistent	JAFFAL
DDX1:NBAS	DDX1	ENSG00000079785.16	chr2:15607313	+	+	NBAS	ENSG00000151779.14	chr2:15218968	-	-	388.349	2	a7f0a4e6-e5d1-489f-89f1-2e3c73dd2c80	Consistent	JAFFAL
CEP152:GALK2	CEP152	ENSG00000103995.14	chr15:48805563	-	-	GALK2	ENSG00000156958.15	chr15:49235851	+	+	430.285	2	e770a8bb-7e80-47ef-94d3-48f63d1c3807	Consistent	JAFFAL
UNG:MMAB	UNG	ENSG00000076248.12	chr12:109103611	+	+	MMAB	ENSG00000139428.12	chr12:109561852	-	-	458.239	2	9d1ea5e1-e36c-45db-9ad7-a106cdf1e07d	Consistent	JAFFAL
PPP6C:MAPKAP1	PPP6C	ENSG00000119414.12	chr9:125189644	-	-	MAPKAP1	ENSG00000119487.17	chr9:125672643	-	-	482.994	2	a4be0c7a-daa4-491e-a156-e70d69fb0a4f	Consistent	JAFFAL
ALG6:ATG4C	ALG6	ENSG00000088035.18	chr1:63371059	+	+	ATG4C	ENSG00000125703.15	chr1:62829040	+	+	542.015	2	0f895dd8-6a6e-469d-b3a8-9e8155f971c3	Consistent	JAFFAL
AZIN1:DCAF13	AZIN1	ENSG00000155096.15	chr8:102843551	-	-	DCAF13	ENSG00000164934.15	chr8:103432659	+	+	589.108	2	6fe471c6-8e1d-4a38-8edb-dd3c2ab5bb0e	Consistent	JAFFAL
JARID2:RANBP9	JARID2	ENSG00000008083.14	chr6:15246584	+	+	RANBP9	ENSG00000010017.13	chr6:13644729	-	-	1601.856	2	cc70e93b-1379-47e9-b9ba-869470d470d3	Consistent	JAFFAL
TIMM44:DUS3L	TIMM44	ENSG00000104980.8	chr19:7938027	-	-	DUS3L	ENSG00000141994.16	chr19:5788398	-	-	2149.63	2	985f7245-5dfb-4570-95f9-a3c9872af8fc	Consistent	JAFFAL
CISD2:PPA2	CISD2	ENSG00000145354.12	chr4:102869187	+	+	PPA2	ENSG00000138777.20	chr4:105453642	-	-	2584.456	2	086c1009-2425-4325-92e9-18cc36ee12ca	Consistent	JAFFAL
RPL32:OXNAD1	RPL32	ENSG00000144713.13	chr3:12839349	-	-	OXNAD1	ENSG00000154814.14	chr3:16294856	+	+	3455.509	2	a52a81ba-a0b0-47b8-8649-44059955ca23	Consistent	JAFFAL
SCHLAP1:MTX2	SCHLAP1	ENSG00000281131.1	chr2:180724690	+	+	MTX2	ENSG00000128654.14	chr2:176296860	+	+	4427.825	2	e8025a28-fd67-406f-8bfa-4e9d84cf1604	Consistent	JAFFAL
TBPL1:RNF146	TBPL1	ENSG00000028839.10	chr6:133953425	+	+	RNF146	ENSG00000118518.17	chr6:127280231	+	+	6673.191	2	5aacc405-f184-4502-96e5-37bb35f25bfd	Consistent	JAFFAL
DBF4:RINT1	DBF4	ENSG00000006634.8	chr7:87878133	+	+	RINT1	ENSG00000135249.8	chr7:105565530	+	+	17687.402	2	10516c86-b08b-4d8d-a4d8-f6f3ffdab10e	Consistent	JAFFAL
EML4:SF3B6	EML4	ENSG00000143924.19	chr2:42256630	+	+	SF3B6	ENSG00000115128.7	chr2:24068459	-	-	18188.17	2	1a33fd78-9a4f-4d47-ad95-d411caa76533	Consistent	JAFFAL
CH507-145C22.1:TMEM50B	CH507-145C22.1		chr21:6318604	+		TMEM50B	ENSG00000142188.17	chr21:33448879	-	-	27130.272	2	a467a68e-1f00-4845-ae5f-107f2cbdd114	Inconsistent	JAFFAL
DTL:RFWD2	DTL	ENSG00000143476.18	chr1:212035942	+	+	RFWD2		chr1:176135086	-		35900.858	2	1260f430-1429-4947-a18f-bd21d7d80af1	Inconsistent	JAFFAL
OLA1:XRCC5	OLA1	ENSG00000138430.16	chr2:174246715	-	-	XRCC5	ENSG00000079246.16	chr2:216141186	+	+	41894.471	2	19e19213-4f1d-4d67-b9be-b6c328148ecf	Consistent	JAFFAL
EIF4G2:SF1	EIF4G2	ENSG00000110321.19	chr11:10808705	-	-	SF1	ENSG00000168066.22	chr11:64776626	-	-	53967.918	2	cdcb5249-c424-41f0-bff9-c1f53627dc54	Consistent	JAFFAL
PROS1:MLH1	PROS1	ENSG00000184500.16	chr3:93973674	-	-	MLH1	ENSG00000076242.18	chr3:37040186	+	+	56933.49	2	88955388-02c1-4576-aa46-d53b55ebe7a8	Consistent	JAFFAL
RABGGTB:ENO1	RABGGTB	ENSG00000137955.16	chr1:75787604	+	+	ENO1	ENSG00000074800.16	chr1:8868057	-	-	66919.547	2	99b76360-e93a-4349-9ecf-9c6bd7e09e1a	Consistent	JAFFAL
SEPT2:NOSTRIN	SEPT2		chr2:241336098	+		NOSTRIN	ENSG00000163072.16	chr2:168828158	+	+	72507.936	2	1892fdce-99fa-4e5f-ac87-0fd5ba6c0d79	Inconsistent	JAFFAL
R3HDM1:PSMD1	R3HDM1	ENSG00000048991.18	chr2:135639122	+	+	PSMD1	ENSG00000173692.14	chr2:231161340	+	+	95522.224	2	371be9e1-ca8f-4888-b3fd-2408421de2d6	Consistent	JAFFAL
STK40:LIN9	STK40	ENSG00000196182.11	chr1:36385723	-	-	LIN9	ENSG00000183814.16	chr1:226239096	-	-	189853.37	2	3f01f457-abd9-4439-83af-7947769c139d	Consistent	JAFFAL
CCAR1:TMED2	CCAR1	ENSG00000060339.14	chr10:68722577	+	+	TMED2	ENSG00000086598.11	chr12:123586747	+	+	inf	2	ade2d020-e1ce-4f60-94d8-f720ac3d8857	Consistent	JAFFAL
CSDE1:GALNT12	CSDE1	ENSG00000009307.17	chr1:114719579	-	-	GALNT12	ENSG00000119514.7	chr9:98848952	+	+	inf	2	07c57074-77a2-491d-9d02-6a3bebb9f292	Consistent	JAFFAL
CKAP5:CNOT10	CKAP5	ENSG00000175216.15	chr11:46808031	-	-	CNOT10	ENSG00000182973.20	chr3:32769887	+	+	inf	2	9c8805f0-b036-4458-ba05-fe4f4b9e9bb1	Consistent	JAFFAL
KCTD21-AS1:PDCL2	KCTD21-AS1	ENSG00000246174.10	chr11:78140072	+	+	PDCL2	ENSG00000163440.12	chr4:55582237	-	-	inf	2	19124805-ad9c-44ac-bf25-133efeb2fe8e	Consistent	JAFFAL
TSEN15:TRA2B	TSEN15	ENSG00000198860.14	chr1:184054863	+	+	TRA2B	ENSG00000136527.19	chr3:185919496	-	-	inf	2	3cbef5f5-2191-46d4-b075-b3e385c66679	Consistent	JAFFAL
TAF1D:VRK1	TAF1D	ENSG00000166012.17	chr11:93737064	-	-	VRK1	ENSG00000100749.9	chr14:96881177	+	+	inf	2	7c20d034-308b-45d1-9773-96b7108855e2	Consistent	JAFFAL
CFH:MKLN1	CFH	ENSG00000000971.17	chr1:196690239	+	+	MKLN1	ENSG00000128585.18	chr7:131478623	+	+	inf	2	20706546-eb79-41f6-9edb-ee690f25327b	Consistent	JAFFAL
CEP85:RPS19	CEP85	ENSG00000130695.16	chr1:26244318	+	+	RPS19	ENSG00000105372.8	chr19:41869031	+	+	inf	2	3fccdbb0-13a7-48ae-9780-08e490be2f88	Consistent	JAFFAL
NUDC:UBB	NUDC	ENSG00000090273.14	chr1:26924166	+	+	UBB	ENSG00000170315.14	chr17:16381902	+	+	inf	2	1ab3c13f-32af-4451-8254-c0a49b81824e	Consistent	JAFFAL
RCC1:MRPS18B	RCC1	ENSG00000180198.17	chr1:28508901	+	+	MRPS18B	ENSG00000204568.12	chr6:30622832	+	+	inf	2	7703de96-608f-45c5-83fb-f7fd5ff0fa9e	Consistent	JAFFAL
MTIF3:GCFC2	MTIF3	ENSG00000122033.15	chr13:27445088	-	-	GCFC2	ENSG00000005436.14	chr2:75673520	-	-	inf	2	2a865fd2-6bce-4ad3-82e7-c34bfd44b6e6	Consistent	JAFFAL
ZFYVE21:ASAH1	ZFYVE21	ENSG00000100711.14	chr14:103715979	+	+	ASAH1	ENSG00000104763.20	chr8:18075587	-	-	inf	2	49a7c71b-352a-4efc-bfd4-c281fa977777	Consistent	JAFFAL
G2E3:NDUFS6	G2E3	ENSG00000092140.16	chr14:30559272	+	+	NDUFS6	ENSG00000145494.12	chr5:1814339	+	+	inf	2	4b1e6e8e-c9c9-43af-9ba8-cd83b8aebf51	Consistent	JAFFAL
ZYG11A:MAP3K4	ZYG11A	ENSG00000203995.11	chr1:52854630	+	+	MAP3K4	ENSG00000085511.20	chr6:161112668	+	+	inf	2	336744d5-7c33-4aee-83b5-006a9825cc16	Consistent	JAFFAL
YWHAE:FAM156A	YWHAE	ENSG00000108953.17	chr17:1400047	-	-	FAM156A	ENSG00000268350.8	chrX:52956346	-	-	inf	2	c9d1bab9-f786-4f8e-ad32-bb5a7a1c73c8	Consistent	JAFFAL
MED1:C9orf3	MED1	ENSG00000125686.12	chr17:39431942	-	-	C9orf3		chr9:95086682	+		inf	2	971da5a2-1f5e-4a46-8c61-f5ae9a9c45a2	Inconsistent	JAFFAL
ASB16-AS1:PAGE1	ASB16-AS1	ENSG00000267080.8	chr17:44181623	-	-	PAGE1	ENSG00000068985.5	chrX:49689543	-	-	inf	2	0d72bb3a-0d7e-4912-a331-4c42cac7d680	Consistent	JAFFAL
SUMO2:ATP6V0E1	SUMO2	ENSG00000188612.12	chr17:75182814	-	-	ATP6V0E1	ENSG00000113732.9	chr5:173034399	+	+	inf	2	18c151e6-171f-44f0-a82f-c42db57e7ff8	Consistent	JAFFAL
SEC14L1:ODF2L	SEC14L1	ENSG00000129657.16	chr17:77089271	+	+	ODF2L	ENSG00000122417.16	chr1:86384801	-	-	inf	2	55db861e-de22-4a42-8177-3201c326ef74	Consistent	JAFFAL
ESCO1:NUP133	ESCO1	ENSG00000141446.11	chr18:21600623	-	-	NUP133	ENSG00000069248.12	chr1:229449190	-	-	inf	2	5e79f64d-1470-4b39-8544-4133914b50c4	Consistent	JAFFAL
TGIF1:B2M	TGIF1	ENSG00000177426.22	chr18:3450505	+	+	B2M	ENSG00000166710.23	chr15:44715423	+	+	inf	2	9acdfa2f-e407-4d0b-9d12-73f5ab99d4a7	Consistent	JAFFAL
TCF4:UBA1	TCF4	ENSG00000196628.20	chr18:55461019	-	-	UBA1	ENSG00000130985.17	chrX:47206078	+	+	inf	2	acc0265c-dd01-46ce-9766-3e693d85d24a	Consistent	JAFFAL
ZNF69:CSNK2B	ZNF69	ENSG00000198429.10	chr19:11887986	+	+	CSNK2B	ENSG00000204435.15	chr6:31667868	+	+	inf	2	251e4046-553d-49c1-a081-8eb8fe28fbd0	Consistent	JAFFAL
RPS16:AHSA1	RPS16	ENSG00000105193.9	chr19:39435607	-	-	AHSA1	ENSG00000100591.8	chr14:77468083	+	+	inf	2	3052f17f-6c92-49a2-8376-bb397ba309d7	Consistent	JAFFAL
C19orf70:ATG4B	C19orf70		chr19:5679586	-		ATG4B	ENSG00000168397.17	chr2:241672191	+	+	inf	2	791257df-3b3b-44c7-a022-e24155b8ce85	Inconsistent	JAFFAL
ZNF274:KIAA0391	ZNF274	ENSG00000171606.18	chr19:58187042	+	+	KIAA0391		chr14:35266727	+		inf	2	0a58fd4f-a264-4c5d-9140-15d2c63a0bf1	Inconsistent	JAFFAL
NCOA5:GDI2	NCOA5	ENSG00000124160.12	chr20:46089817	-	-	GDI2	ENSG00000057608.17	chr10:5768384	-	-	inf	2	b3a9ec25-2b02-4b83-bef5-656951fc8a38	Consistent	JAFFAL
ZFAS1:RRP15	ZFAS1	ENSG00000177410.13	chr20:49279208	+	+	RRP15	ENSG00000067533.6	chr1:218330948	+	+	inf	2	3081b08d-1381-42bb-bd0b-c7cd4b251116	Consistent	JAFFAL
FAM65C:TCP1	FAM65C		chr20:50691126	-		TCP1	ENSG00000120438.12	chr6:159780087	-	-	inf	2	0ccf786b-ad8c-4e27-9bca-453732b8d473	Inconsistent	JAFFAL
RTEL1:MSH6	RTEL1	ENSG00000258366.12	chr20:63674093	+	+	MSH6	ENSG00000116062.19	chr2:47805618	+	+	inf	2	be7685cd-63a8-4e53-bc44-8edba300f6fa	Consistent	JAFFAL
RPL31:CDK5RAP3	RPL31	ENSG00000071082.11	chr2:101006071	+	+	CDK5RAP3	ENSG00000108465.15	chr17:47971362	+	+	inf	2	2423d45e-d974-44be-bc9a-1fe1ffa757a4	Consistent	JAFFAL
SAMSN1:RFWD2	SAMSN1	ENSG00000155307.19	chr21:14546205	-	-	RFWD2		chr1:175947239	-		inf	2	3a8b0d27-c52d-41a5-b98d-afcd6b734ad6	Inconsistent	JAFFAL
bP-21264C1.2:UTP18	bP-21264C1.2		chr21:9327298	+		UTP18	ENSG00000011260.14	chr17:51275866	+	+	inf	2	020df37d-c5bd-44cf-ba5d-decc4a84c662	Inconsistent	JAFFAL
ATIC:TARS	ATIC	ENSG00000138363.15	chr2:215319731	+	+	TARS		chr5:33460902	+		inf	2	5fb1c3ad-e23f-4bc0-b17a-1dfc0c9dba9c	Inconsistent	JAFFAL
PRR5:RPL5	PRR5	ENSG00000186654.22	chr22:44726634	+	+	RPL5	ENSG00000122406.14	chr1:92837456	+	+	inf	2	680bb63c-3860-4c66-936f-b0137c64dae5	Consistent	JAFFAL
GCFC2:POT1	GCFC2	ENSG00000005436.14	chr2:75706523	-	-	POT1	ENSG00000128513.16	chr7:124822551	-	-	inf	2	0829a7a1-8501-40e2-b9ab-6adfa7bac2d9	Consistent	JAFFAL
ZNF621:ARL6IP1	ZNF621	ENSG00000172888.12	chr3:40525864	+	+	ARL6IP1	ENSG00000170540.15	chr16:18793370	-	-	inf	2	1d99fd36-8bdd-4ff6-9231-20067b4c14b4	Consistent	JAFFAL
ARIH2:TTC32	ARIH2	ENSG00000177479.20	chr3:48927813	+	+	TTC32	ENSG00000183891.6	chr2:19898035	-	-	inf	2	5cb415ea-8bd0-42b8-91a6-80ac0f406cc4	Consistent	JAFFAL
RHOA:NDUFB2	RHOA	ENSG00000067560.14	chr3:49411820	-	-	NDUFB2	ENSG00000090266.13	chr7:140702866	+	+	inf	2	02509a0e-630e-4109-aec6-ff51b1fe7ed2	Consistent	JAFFAL
SPATA5:ZNF131	SPATA5		chr4:122923305	+		ZNF131	ENSG00000172262.12	chr5:43122039	+	+	inf	2	38abf9c1-871f-47e0-9ab1-d1851ee2f395	Inconsistent	JAFFAL
NELFA:IGF2BP3	NELFA	ENSG00000185049.16	chr4:2008750	-	-	IGF2BP3	ENSG00000136231.14	chr7:23319254	-	-	inf	2	1186211a-dff7-494c-a1a3-c244100a8d11	Consistent	JAFFAL
DANCR:ZW10	DANCR	ENSG00000226950.8	chr4:52712959	+	+	ZW10	ENSG00000086827.9	chr11:113760590	-	-	inf	2	5d54b399-efd1-4361-b56f-2022c1db5b7c	Consistent	JAFFAL
DANCR:GLUL	DANCR	ENSG00000226950.8	chr4:52712959	+	+	GLUL	ENSG00000135821.19	chr1:182386402	-	-	inf	2	6b2d0b8e-9343-4d47-bd88-ff6b2ef359e8	Consistent	JAFFAL
DANCR:RABGGTB	DANCR	ENSG00000226950.8	chr4:52712959	+	+	RABGGTB	ENSG00000137955.16	chr1:75789952	+	+	inf	2	182759d3-6547-4859-93d9-9a881b3deadd	Consistent	JAFFAL
DANCR:PTTG1IP	DANCR	ENSG00000226950.8	chr4:52712959	+	+	PTTG1IP	ENSG00000183255.12	chr21:44861271	-	-	inf	2	752f5742-e130-43b4-9d64-aee3ffd68567	Consistent	JAFFAL
DANCR:RHAG	DANCR	ENSG00000226950.8	chr4:52712959	+	+	RHAG	ENSG00000112077.18	chr6:49607220	-	-	inf	2	d77fa6cc-46a7-4c71-8df7-201ba97f90ae	Consistent	JAFFAL
DANCR:SNHG15	DANCR	ENSG00000226950.8	chr4:52712959	+	+	SNHG15	ENSG00000232956.10	chr7:44984426	-	-	inf	2	ee1ebd09-e0bc-4f8c-867b-e7f3ae4a54c2	Consistent	JAFFAL
ZNF595:TBC1D22A	ZNF595	ENSG00000272602.6	chr4:53491	+	+	TBC1D22A	ENSG00000054611.14	chr22:47037071	+	+	inf	2	27bda9fc-bd01-4744-a63e-610d160f7a74	Consistent	JAFFAL
